Study date,Year,Project,OBJECTID,Intersection,File Name
2017-01-24,2017,Turning Movement Count,8962,CAMBIE ST AND W 7TH AV,ENG - TDM - TURNING MOVEMENT COUNT - CAMBIE ST & W 7TH AV - 2017-01-24
2017-03-28,2017,Turning Movement Count,8963,CAMBIE ST AND W 7TH AV,ENG - TDM - TURNING MOVEMENT COUNT - CAMBIE ST & W 7TH AV - 2017-03-28
2017-01-31,2017,Turning Movement Count,8964,W BROADWAY AND CAMBIE ST,ENG - TDM - TURNING MOVEMENT COUNT - CAMBIE ST & W BROADWAY - 2017-01-31
2017-03-22,2017,Turning Movement Count,8965,VENABLES ST AND CAMPBELL AV,ENG - TDM - TURNING MOVEMENT COUNT - CAMPBELL AV & PRIOR ST - 2017-03-22
2017-01-26,2017,Turning Movement Count,8966,DAVIE ST AND RICHARDS ST,ENG - TDM - TURNING MOVEMENT COUNT - RICHARDS ST & DAVIE ST - 2017-01-26
2017-02-02,2017,Turning Movement Count,8967,RICHARDS ST AND DRAKE ST,ENG - TDM - TURNING MOVEMENT COUNT - RICHARDS ST & DRAKE ST - 2017-02-02
2017-02-14,2017,Turning Movement Count,8968,E BROADWAY AND LAKEWOOD DRIVE,ENG - TDM - TURNING MOVEMENT COUNT - LAKEWOOD DR & E BROADWAY - 2017-02-14
2017-02-14,2017,Turning Movement Count,8969,SMITHE ST AND RICHARDS ST,ENG - TDM - TURNING MOVEMENT COUNT - RICHARDS ST & SMITHE ST - 2017-02-14
2017-05-11,2017,Turning Movement Count,8970,W GEORGIA ST AND RICHARDS ST,ENG - TDM - TURNING MOVEMENT COUNT - RICHARDS ST & W GEORGIA ST - 2017-05-11
2017-01-31,2017,Turning Movement Count,8971,RICHARDS ST AND W HASTINGS ST,ENG - TDM - TURNING MOVEMENT COUNT - RICHARDS ST & W HASTINGS ST - 2017-01-31
2017-05-23,2017,Turning Movement Count,8972,E 6TH AV AND CAROLINA ST,ENG - TDM - TURNING MOVEMENT COUNT - CAROLINA ST & E 6TH AV - 2017-05-23
2017-05-04,2017,Turning Movement Count,8973,ASH ST AND W 2ND AV,ENG - TDM - TURNING MOVEMENT COUNT - ASH ST & W 6TH AV - 2017-05-04
2017-10-05,2017,Turning Movement Count,8974,RUPERT ST AND E 1ST AV,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & E 1ST AV - 2017-10-05
2017-01-25,2017,Turning Movement Count,8975,E 22ND AV AND RUPERT ST,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & E 22ND AV - 2017-01-25
2017-10-11,2017,Turning Movement Count,8976,E 22ND AV AND RUPERT ST,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & E 22ND AV - 2017-10-11
2017-10-11,2017,Turning Movement Count,8978,E 7TH AV AND RUPERT ST,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & E 7TH AV - 2017-10-11
2017-10-12,2017,Turning Movement Count,8979,E 8TH AV AND RUPERT ST,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & E 8TH AV - 2017-10-12
2017-01-24,2017,Turning Movement Count,8980,PACIFIC BOULEVARD AND CARRALL ST,ENG - TDM - TURNING MOVEMENT COUNT - CARRALL ST & PACIFIC BLVD - 2017-01-24
2017-01-11,2017,Turning Movement Count,8981,W PENDER ST AND E PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - CARRALL ST & W PENDER ST - 2017-01-11
2017-02-16,2017,Turning Movement Count,8982,E HASTINGS ST AND CASSIAR CONNECTOR,ENG - TDM - TURNING MOVEMENT COUNT - CASSIAR CONNECTOR & E HASTINGS ST - 2017-02-16
2017-10-11,2017,Turning Movement Count,8983,CASSIAR ST AND E 22ND AV,ENG - TDM - TURNING MOVEMENT COUNT - CASSIAR ST & E 22ND AV - 2017-10-11
2017-10-10,2017,Turning Movement Count,8984,E 6TH AV AND CASSIAR ST,ENG - TDM - TURNING MOVEMENT COUNT - CASSIAR ST & E 6TH AV - 2017-10-10
2017-10-11,2017,Turning Movement Count,8985,E 8TH AV AND CASSIAR ST,ENG - TDM - TURNING MOVEMENT COUNT - CASSIAR ST & E 8TH AV - 2017-10-11
2017-02-22,2017,Turning Movement Count,8986,GEORGIA VIADUCT AND CITADEL PARADE,ENG - TDM - TURNING MOVEMENT COUNT - CITADEL PARADE & W GEORGIA ST - 2017-02-22
2017-04-22,2017,Turning Movement Count,8987,GRANDVIEW HIGHWAY AND RUPERT ST,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & GRANDVIEW HWY - 2017-04-22
2017-03-16,2017,Turning Movement Count,8988,CLARENDON ST AND E 41ST AV,ENG - TDM - TURNING MOVEMENT COUNT - CLARENDON ST & E 41ST AV - 2017-03-16
2017-01-31,2017,Turning Movement Count,8989,RUPERT ST AND KINGSWAY,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & KINGSWAY - 2017-01-31
2017-08-15,2017,Turning Movement Count,8990,RUPERT ST AND VANNESS AV,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & VANNESS AV - 2017-08-15
2017-04-11,2017,Turning Movement Count,8991,MCKINNON ST AND SCHOOL AV,ENG - TDM - TURNING MOVEMENT COUNT - SCHOOL GREEN & CHARLESON - 2017-04-11
2017-02-21,2017,Turning Movement Count,8993,KILLARNEY ST AND E 41ST AV,ENG - TDM - TURNING MOVEMENT COUNT - KILLARNEY ST & E 41ST AV - 2017-02-21
2017-03-07,2017,Turning Movement Count,8994,MALKIN AV AND PRIOR ST,ENG - TDM - TURNING MOVEMENT COUNT - JACKSON AV & PRIOR ST - 2017-03-07
2017-05-04,2017,Turning Movement Count,8995,E 1ST AV AND GRANDVIEW VIADUCT,ENG - TDM - TURNING MOVEMENT COUNT - CLARK DR & E 1ST AV - 2017-05-04
2017-02-22,2017,Turning Movement Count,8996,CLARK DRIVE AND FRANCES ST,ENG - TDM - TURNING MOVEMENT COUNT - CLARK DR & FRANCES ST - 2017-02-22
2017-06-15,2017,Turning Movement Count,8997,MANITOBA ST AND W 1ST AV,ENG - TDM - TURNING MOVEMENT COUNT - MANITOBA ST & W 1ST AV - 2017-06-15
2017-08-10,2017,Turning Movement Count,8998,MANITOBA ST AND W 1ST AV,ENG - TDM - TURNING MOVEMENT COUNT - MANITOBA ST & W 1ST AV - 2017-08-10
2017-07-27,2017,Turning Movement Count,8999,W 14TH AV AND COLUMBIA ST,ENG - TDM - TURNING MOVEMENT COUNT - COLUMBIA ST & E 14TH AV - 2017-07-27
2017-04-13,2017,Turning Movement Count,9000,W 2ND AV AND COLUMBIA ST,ENG - TDM - TURNING MOVEMENT COUNT - COLUMBIA ST & E 2ND AV - 2017-04-13
2017-03-08,2017,Turning Movement Count,9001,W BROADWAY AND COLUMBIA ST,ENG - TDM - TURNING MOVEMENT COUNT - COLUMBIA ST & E BROADWAY - 2017-03-08
2017-01-19,2017,Turning Movement Count,9002,COLUMBIA ST AND E CORDOVA ST,ENG - TDM - TURNING MOVEMENT COUNT - COLUMBIA ST & E CORDOVA ST - 2017-01-19
2017-01-26,2017,Turning Movement Count,9003,E HASTINGS ST AND COLUMBIA ST,ENG - TDM - TURNING MOVEMENT COUNT - COLUMBIA ST & E HASTINGS ST - 2017-01-26
2017-01-12,2017,Turning Movement Count,9004,COLUMBIA ST AND E PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - COLUMBIA ST & E PENDER ST - 2017-01-12
2017-02-07,2017,Turning Movement Count,9005,KEEFER ST AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - COLUMBIA ST & KEEFER ST - 2017-02-07
2017-02-23,2017,Turning Movement Count,9006,POWELL ST AND COLUMBIA ST,ENG - TDM - TURNING MOVEMENT COUNT - COLUMBIA ST & POWELL ST - 2017-02-23
2017-01-26,2017,Turning Movement Count,9007,SKEENA ST AND GRANDVIEW HIGHWAY,ENG - TDM - TURNING MOVEMENT COUNT - SKEENA ST & GRANDVIEW HWY - 2017-01-26
2017-10-04,2017,Turning Movement Count,9008,E 1ST AV AND SLOCAN ST,ENG - TDM - TURNING MOVEMENT COUNT - SLOCAN ST & E 1ST AV - 2017-10-04
2017-01-25,2017,Turning Movement Count,9009,SLOCAN ST AND E BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - SLOCAN ST & E BROADWAY - 2017-01-25
2017-02-14,2017,Turning Movement Count,9011,GRANDVIEW HWY NORTH AND LAKEWOOD DRIVE,ENG - TDM - TURNING MOVEMENT COUNT - LAKEWOOD DR & N GRANDVIEW HWY - 2017-02-14
2017-03-01,2017,Turning Movement Count,9012,SLOCAN ST AND GRANDVIEW HWY NORTH,ENG - TDM - TURNING MOVEMENT COUNT - SLOCAN ST & S GRANDVIEW HWY - 2017-03-01
2017-10-24,2017,Turning Movement Count,9013,MANITOBA ST AND W 4TH AV,ENG - TDM - TURNING MOVEMENT COUNT - MANITOBA ST & W 4TH AV - 2017-10-24
2017-03-09,2017,Turning Movement Count,9014,SPRUCE ST AND W BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - SPRUCE ST & W BROADWAY - 2017-03-09
