date,intersection,weather,type,AM_available,AM_scraped,MD_available,MD_scraped,PM_available,PM_scraped,AM_peak_hour,AM_north_bikes_vol,AM_north_peds_vol,AM_north_veh_vol,AM_east_bikes_vol,AM_east_peds_vol,AM_east_veh_vol,AM_south_bikes_vol,AM_south_peds_vol,AM_south_veh_vol,AM_west_bikes_vol,AM_west_peds_vol,AM_west_veh_vol,PM_peak_hour,PM_north_bikes_vol,PM_north_peds_vol,PM_north_veh_vol,PM_east_bikes_vol,PM_east_peds_vol,PM_east_veh_vol,PM_south_bikes_vol,PM_south_peds_vol,PM_south_veh_vol,PM_west_bikes_vol,PM_west_peds_vol,PM_west_veh_vol,MD_peak_hour,MD_north_bikes_vol,MD_north_peds_vol,MD_north_veh_vol,MD_east_bikes_vol,MD_east_peds_vol,MD_east_veh_vol,MD_south_bikes_vol,MD_south_peds_vol,MD_south_veh_vol,MD_west_bikes_vol,MD_west_peds_vol,MD_west_veh_vol
2017-07-26,W 11TH AV AND ALDER ST,sunny,,True,True,False,True,True,True,08:00 - 09:00,12,20,38.0,2,31,16.0,63,21,30.0,4,24,27.0,16:55 - 17:55,45,9,75.0,2,27,19.0,23,32,53.0,9,56,36.0,,,,,,,,,,,,,
2017-07-26,ALDER ST AND W 13TH AV,sunny,,True,True,False,True,True,True,08:00 - 09:00,14,28,26.0,29,16,53.0,36,13,45.0,10,18,24.0,16:55 - 17:55,52,25,40.0,11,20,37.0,20,23,42.0,15,22,40.0,,,,,,,,,,,,,
2017-07-26,ALDER ST AND W 14TH AV,sunny,,True,True,False,True,True,True,08:00 - 09:00,10,20,27.0,39,10,23.0,11,18,35.0,13,14,14.0,17:00 - 18:00,38,14,39.0,28,23,24.0,8,30,34.0,27,19,35.0,,,,,,,,,,,,,
2017-01-10,W 6TH AV AND ALDER ST,cloudy,,True,True,False,True,True,True,08:00 - 09:00,,,,,,1390.0,,38,33.0,,,1437.0,16:55 - 17:55,,,,1,,1512.0,,52,52.0,2,,1565.0,,,,,,,,,,,,,
2017-08-01,E 14TH AV AND MAIN ST,sunny,,True,True,False,True,True,True,08:00 - 09:00,,96,791.0,65,113,56.0,16,110,1180.0,22,28,51.0,16:35 - 17:35,31,224,1267.0,20,261,60.0,19,201,954.0,35,234,109.0,,,,,,,,,,,,,
2017-05-03,ALMA ST AND W 10TH AV,rain,,True,True,False,True,True,True,08:00 - 09:00,,61,490.0,2,42,667.0,2,28,475.0,1,40,620.0,17:00 - 18:00,2,13,353.0,,37,483.0,2,36,418.0,6,76,858.0,,,,,,,,,,,,,
2017-02-07,ALMA ST AND W 4TH AV,snow,,True,True,False,True,True,True,08:00 - 09:00,1,35,44.0,1,72,935.0,1,90,393.0,2,42,587.0,16:40 - 17:40,2,59,42.0,,102,646.0,,201,429.0,2,156,1201.0,,,,,,,,,,,,,
2017-05-16,Anderson St & W 2nd Av,rain,,True,True,False,True,True,True,08:00 - 09:00,3,65,165.0,39,45,107.0,14,23,305.0,34,127,154.0,16:50 - 17:50,14,85,575.0,50,103,63.0,6,18,385.0,71,314,275.0,,,,,,,,,,,,,
2017-08-31,Anderson St & W 4th Av,rain,,True,True,False,True,True,True,08:00 - 09:00,1,31,215.0,1,,1214.0,,111,,4,133,1646.0,16:55 - 17:55,,130,523.0,3,,1343.0,,337,,1,423,2291.0,,,,,,,,,,,,,
2017-03-22,ARBUTUS ST AND CORNWALL AV,rain,,True,True,False,True,True,True,08:00 - 09:00,,19,38.0,7,12,611.0,1,26,71.0,17,24,696.0,16:30 - 17:30,3,45,80.0,10,14,701.0,1,30,91.0,4,33,698.0,,,,,,,,,,,,,
2017-05-18,PACIFIC BOULEVARD AND DAVIE ST,cloudy,,True,True,False,True,True,True,07:50 - 08:50,,356,824.0,,135,218.0,,213,719.0,,138,197.0,17:00 - 18:00,,774,1108.0,,454,192.0,,463,833.0,,310,256.0,,,,,,,,,,,,,
2017-06-13,ARBUTUS ST AND W 12TH AV,rain,,True,True,False,True,True,True,08:00 - 09:00,,28,746.0,3,79,777.0,4,41,839.0,3,57,753.0,17:00 - 18:00,1,24,717.0,2,134,949.0,5,24,743.0,2,57,745.0,,,,,,,,,,,,,
2017-06-07,W 16TH AV AND ARBUTUS ST,cloudy,,True,True,False,True,True,True,08:00 - 09:00,45,29,758.0,3,42,808.0,17,23,1251.0,1,23,968.0,17:00 - 18:00,79,50,857.0,4,67,1110.0,24,58,1007.0,5,82,781.0,,,,,,,,,,,,,
2017-06-08,W 37TH AV AND ARBUTUS ST,rain,,True,True,False,True,True,True,08:00 - 09:00,3,25,719.0,3,4,342.0,,88,471.0,10,22,381.0,16:10 - 17:10,3,12,734.0,3,20,375.0,1,21,524.0,11,13,282.0,,,,,,,,,,,,,
2017-08-30,W 4TH AV AND ARBUTUS ST,cloudy,,True,True,False,True,True,True,07:55 - 08:55,,64,181.0,1,59,770.0,2,45,171.0,4,31,935.0,16:55 - 17:55,,296,222.0,3,145,914.0,7,318,306.0,2,152,989.0,,,,,,,,,,,,,
2017-05-25,W BROADWAY AND ARBUTUS ST,sunny,,True,True,False,True,True,True,08:00 - 09:00,6,98,348.0,1,126,546.0,19,149,546.0,3,151,936.0,16:55 - 17:55,1,125,290.0,,182,828.0,25,309,597.0,4,231,888.0,,,,,,,,,,,,,
2017-06-29,W BROADWAY AND ARBUTUS ST,cloudy,,True,True,False,True,True,True,07:55 - 08:55,6,119,405.0,6,87,681.0,17,145,516.0,3,151,898.0,16:55 - 17:55,15,156,441.0,9,213,1019.0,17,248,623.0,8,308,1120.0,,,,,,,,,,,,,
2017-11-16,W BROADWAY AND ARBUTUS ST,rain,,True,True,True,True,False,True,11:00 - 12:00,2,71,236.0,4,71,718.0,3,153,454.0,4,34,633.0,,,,,,,,,,,,,,11:00 - 12:00,2,71,236.0,4,71,718.0,3,153,454.0,4,34,633.0
2017-06-08,W KING EDWARD AV AND ARBUTUS ST,rain,,True,True,False,True,True,True,08:00 - 09:00,1,25,829.0,,19,974.0,16,1,1253.0,2,8,1097.0,17:00 - 18:00,,22,1208.0,2,38,978.0,9,9,1571.0,3,37,1183.0,,,,,,,,,,,,,
2017-05-16,E 16TH AV AND MAIN ST,rain,,True,True,False,True,True,True,08:00 - 09:00,3,36,825.0,2,63,588.0,8,22,1229.0,,32,287.0,17:00 - 18:00,8,100,1124.0,5,205,302.0,9,101,987.0,5,135,437.0,,,,,,,,,,,,,
2017-01-10,ASH ST AND W 12TH AV,snow,,True,True,False,True,True,True,07:50 - 08:50,1,138,126.0,,124,1256.0,7,44,198.0,,91,998.0,16:15 - 17:15,1,203,367.0,1,109,992.0,1,59,129.0,,172,930.0,,,,,,,,,,,,,
2017-03-21,BALSAM ST AND CORNWALL AV,rain,,True,True,False,True,True,True,07:55 - 08:55,6,14,20.0,13,11,540.0,1,14,36.0,8,8,515.0,16:50 - 17:50,7,34,19.0,29,35,616.0,,19,38.0,8,28,570.0,,,,,,,,,,,,,
2017-01-18,BEATTY ST AND DUNSMUIR ST,rain,,True,True,False,True,True,True,08:00 - 09:00,1,1711,120.0,141,1078,1676.0,14,250,192.0,,422,,17:00 - 18:00,8,1583,249.0,22,1355,1398.0,7,284,259.0,88,342,1.0,,,,,,,,,,,,,
